EmployeeType,FirstName,LastName,AD Account,HomeTown,Address,Position,Manager,Department,EmployeeID,Email,Group,Missing Info,FactoryLocation,JoinedDate,Birthday,Gender,EmployeePermission
Common User,Thang,Pham Huu,HR-Common,Binh Duong,Binh Duong,SCG,10001,Administration & Human Resource,10041,,Administration & Human Resource Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,Quoc,Nguyen Tran,HR-Common,Ho Chi Minh,Ho Chi Minh,SCG,10001,Administration & Human Resource,10027,,Administration & Human Resource Members,,NM2,1/1/2012,2/3/1985,Male,Members
Common User,Solid,Employee1,SP-Common,Ho Chi Minh,Ho Chi Minh,EMP,16007,Solid Workshop,31001,,Solid Workshop Members,,NM2,1/1/2012,2/4/1985,Male,Members
Common User,Solid,Employee2,SP-Common,Ho Chi Minh,Ho Chi Minh,EMP,16007,Solid Workshop,31002,,Solid Workshop Members,,NM2,1/1/2012,2/5/1985,Male,Members
Common User,Solid,Employee3,SP-Common,Ho Chi Minh,Ho Chi Minh,EMP,16007,Solid Workshop,31003,,Solid Workshop Members,,NM2,1/1/2012,2/6/1985,Male,Members
Common User,Solid,Employee4,SP-Common,Ho Chi Minh,Ho Chi Minh,EMP,16007,Solid Workshop,31004,,Solid Workshop Members,,NM2,1/1/2012,2/7/1985,Male,Members
Common User,Solid,Employee5,SP-Common,Ho Chi Minh,Ho Chi Minh,EMP,16007,Solid Workshop,31005,,Solid Workshop Members,,NM2,1/1/2012,2/8/1985,Male,Members
Common User,Solid,Employee6,SP-Common,Ho Chi Minh,Ho Chi Minh,EMP,16007,Solid Workshop,31006,,Solid Workshop Members,,NM2,1/1/2012,2/9/1985,Male,Members
Common User,Solid,Employee7,SP-Common,Ho Chi Minh,Ho Chi Minh,EMP,16007,Solid Workshop,31007,,Solid Workshop Members,,NM2,1/1/2012,2/10/1985,Male,Members
Common User,Solid,Employee8,SP-Common,Ho Chi Minh,Ho Chi Minh,EMP,16007,Solid Workshop,31008,,Solid Workshop Members,,NM2,1/1/2012,2/11/1985,Male,Members
Common User,Solid,Employee9,SP-Common,Ho Chi Minh,Ho Chi Minh,EMP,16007,Solid Workshop,31009,,Solid Workshop Members,,NM2,1/1/2012,2/12/1985,Male,Members
Common User,Solid,Employee10,SP-Common,Ho Chi Minh,Ho Chi Minh,EMP,16007,Solid Workshop,31010,,Solid Workshop Members,,NM2,1/1/2012,2/13/1985,Male,Members
Common User,Solid,Employee11,SP-Common,Ho Chi Minh,Ho Chi Minh,EMP,16007,Solid Workshop,31011,,Solid Workshop Members,,NM2,1/1/2012,2/14/1985,Male,Members
Common User,Solid,Employee12,SP-Common,Ho Chi Minh,Ho Chi Minh,EMP,16007,Solid Workshop,31012,,Solid Workshop Members,,NM2,1/1/2012,2/15/1985,Male,Members
Common User,Solid,Employee13,SP-Common,Ho Chi Minh,Ho Chi Minh,EMP,16007,Solid Workshop,31013,,Solid Workshop Members,,NM2,1/1/2012,2/16/1985,Male,Members
Common User,Solid,Employee14,SP-Common,Ho Chi Minh,Ho Chi Minh,EMP,16007,Solid Workshop,31014,,Solid Workshop Members,,NM2,1/1/2012,2/17/1985,Male,Members
