EmployeeType,FirstName,LastName,AD Account,HomeTown,Address,Position,Manager,Department,EmployeeID,Email,Group,Missing Info,FactoryLocation,JoinedDate,Birthday,Gender,EmployeePermission
AD User,HM,BOD1,HM-BOD1,Ho Chi Minh,Ho Chi Minh,BOD,,,50050,HMBOD1@stada.com.vn,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
AD User,HM,Manager1,HM-Manager1,Ho Chi Minh,Ho Chi Minh,DEH,50050,HM,50051,HMManager1@stada.com.vn,HM Members,,NM2,1/1/2012,2/2/1985,Male,Contributors
AD User,HM,User1,HM-User1,Ho Chi Minh,Ho Chi Minh,AMD,50051,HM,50052,HMUser1@stada.com.vn,HM Members,,NM2,1/1/2012,2/2/1985,Male,Administrators
AD User,HM,User2,HM-User2,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50053,HMUser2@stada.com.vn,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
AD User,HM,User3,HM-User3,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50054,HMUser3@stada.com.vn,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
AD User,HM,User4,HM-User4,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50055,HMUser4@stada.com.vn,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
AD User,HM,User5,HM-User5,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50056,HMUser5@stada.com.vn,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee1,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50057,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee2,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50058,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee3,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50059,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee4,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50060,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee5,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50061,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee6,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50062,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee7,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50063,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee8,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50064,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee9,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50065,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee10,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50066,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee11,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50067,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee12,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50068,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee13,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50069,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee14,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50070,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee15,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50071,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee16,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50072,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee17,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50073,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee18,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50074,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee19,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50075,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee20,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50076,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee21,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50077,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee22,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50078,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee23,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50079,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee24,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50080,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee25,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50081,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee26,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50082,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee27,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50083,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee28,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50084,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee29,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50085,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee30,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50086,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee31,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50087,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee32,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50088,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee33,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50089,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee34,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50090,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee35,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50091,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee36,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50092,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee37,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50093,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee38,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50094,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee39,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50095,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee40,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50096,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee41,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50097,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee42,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50098,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee43,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50099,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee44,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50100,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee45,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50101,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee46,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50102,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee47,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50103,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee48,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50104,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee49,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50105,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee50,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50106,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee51,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50107,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee52,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50108,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee53,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50109,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee54,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50110,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee55,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50111,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee56,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50112,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee57,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50113,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee58,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50114,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee59,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50115,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee60,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50116,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee61,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50117,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee62,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50118,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee63,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50119,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee64,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50120,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee65,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50121,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee66,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50122,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee67,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50123,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee68,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50124,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee69,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50125,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee70,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50126,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee71,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50127,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee72,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50128,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee73,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50129,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee74,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50130,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee75,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50131,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee76,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50132,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee77,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50133,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee78,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50134,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee79,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50135,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee80,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50136,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee81,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50137,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee82,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50138,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee83,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50139,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee84,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50140,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee85,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50141,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee86,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50142,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee87,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50143,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee88,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50144,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee89,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50145,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
Common User,HM,Employee90,hm-common,Ho Chi Minh,Ho Chi Minh,EMP,50051,HM,50146,,HM Members,,NM2,1/1/2012,2/2/1985,Male,Members
